,industries,TotalEmployees,Ncompanies,AverageNumberEmployers,AverageAge years
0,Aerospace & Defense,712535.0,15,47502.333333333336,76.0
1,Automotive (Automotive and Suppliers),2083239.0,34,61271.73529411765,79.0
2,Banking and Financial Services,1986999.0,69,28797.08695652174,110.0
3,Business Services & Supplies,2979456.0,39,76396.30769230769,63.0
4,"Clothing, Shoes, Sports Equipment",458554.0,15,30570.266666666666,81.0
5,Conglomerates,34000.0,1,34000.0,95.0
6,"Construction, Oil & Gas Operations, Mining and Chemicals",805442.0,32,25170.0625,99.0
7,Drugs & Biotechnology,1121036.5,27,41519.87037037037,89.0
8,Education,2358000.0,297,7939.393939393939,128.0
9,Electronics,1414929.0,27,52404.77777777778,63.0
10,"Engineering, Manufacturing",1418162.0,45,31514.71111111111,102.0
11,"Food, Soft Beverages, Alcohol & Tobacco",1349835.0,24,56243.125,86.0
12,Government Services,8054264.0,101,79745.18811881189,167.0
13,Health Care,6464711.0,321,20139.286604361372,82.0
14,"IT, Internet, Software & Services",1205565.5,33,36532.28787878788,35.0
15,Insurance,1182651.0,54,21900.944444444445,93.0
16,Media & Advertising,324975.0,11,29543.18181818182,44.0
17,Packaged Goods,432825.0,16,27051.5625,117.0
18,Professional Services,2948046.0,18,163780.33333333334,71.0
19,Retail and Wholesale,6686212.0,81,82545.82716049382,69.0
20,"Telecommunications Services, Cable Supplier",595676.0,10,59567.6,71.0
21,Transportation and Logistics,1862307.0,32,58197.09375,68.0
22,"Travel, Hotels, Restaurants, Leisure",2348570.0,45,52190.444444444445,58.0
23,Utilities,387006.0,33,11727.454545454546,83.0
